dexnum,name,generation,type1,type2,species,height,weight,ability1,ability2,hidden_ability,hp,attack,defense,sp_atk,sp_def,speed,total,catch_rate
1,Bulbasaur,1,Grass,Poison,Seed Pokémon,0.70,6.90,Overgrow,Chlorophyll,,45,49,49,65,65,45,318,45
2,Ivysaur,1,Grass,Poison,Seed Pokémon,1.00,13.00,Overgrow,Chlorophyll,,60,62,63,80,80,60,405,45
3,Venusaur,1,Grass,Poison,Seed Pokémon,2.00,100.00,Overgrow,Chlorophyll,,80,82,83,100,100,80,525,45
4,Charmander,1,Fire,,Lizard Pokémon,0.60,8.50,Blaze,Solar Power,,39,52,43,60,50,65,309,45
5,Charmeleon,1,Fire,,Flame Pokémon,1.10,19.00,Blaze,Solar Power,,58,64,58,80,65,80,405,45
6,Charizard,1,Fire,Flying,Flame Pokémon,1.70,90.50,Blaze,Solar Power,,78,84,78,109,85,100,534,45
7,Squirtle,1,Water,,Tiny Turtle Pokémon,0.50,9.00,Torrent,Rain Dish,,44,48,65,50,64,43,314,45
8,Wartortle,1,Water,,Turtle Pokémon,1.00,22.50,Torrent,Rain Dish,,59,63,80,65,80,58,405,45
9,Blastoise,1,Water,,Shellfish Pokémon,1.60,85.50,Torrent,Rain Dish,,79,83,100,85,105,78,530,45
10,Caterpie,1,Bug,,Worm Pokémon,0.30,2.90,Shield Dust,Run Away,,45,30,35,20,20,45,195,255
11,Metapod,1,Bug,,Cocoon Pokémon,0.70,9.90,Shed Skin,,,50,20,55,25,25,30,205,120
12,Butterfree,1,Bug,Flying,Butterfly Pokémon,1.10,32.00,Compound Eyes,Tinted Lens,,60,45,50,90,80,70,395,45
13,Weedle,1,Bug,Poison,Hairy Bug Pokémon,0.30,3.20,Shield Dust,Run Away,,40,35,30,20,20,50,195,255
14,Kakuna,1,Bug,Poison,Cocoon Pokémon,0.60,10.00,Shed Skin,,,45,25,50,25,25,35,205,120
15,Beedrill,1,Bug,Poison,Poison Bee Pokémon,1.00,29.50,Swarm,Sniper,,65,90,40,45,80,75,395,45
16,Pidgey,1,Normal,Flying,Tiny Bird Pokémon,0.30,1.80,Keen Eye,Tangled Feet,Big Pecks,40,45,40,35,35,56,251,255
17,Pidgeotto,1,Normal,Flying,Bird Pokémon,1.10,30.00,Keen Eye,Tangled Feet,Big Pecks,63,60,55,50,50,71,349,120
18,Pidgeot,1,Normal,Flying,Bird Pokémon,1.50,39.50,Keen Eye,Tangled Feet,Big Pecks,83,80,75,70,70,101,479,45
19,Rattata,1,Normal,,Mouse Pokémon,0.30,3.50,Run Away,Guts,Hustle,30,56,35,25,35,72,253,255
20,Raticate,1,Normal,,Mouse Pokémon,0.70,18.50,Run Away,Guts,Hustle,55,81,60,50,70,97,413,127
21,Spearow,1,Normal,Flying,Tiny Bird Pokémon,0.30,2.00,Keen Eye,Sniper,,40,60,30,31,31,70,262,255
22,Fearow,1,Normal,Flying,Beak Pokémon,1.20,38.00,Keen Eye,Sniper,,65,90,65,61,61,100,442,90
23,Ekans,1,Poison,,Snake Pokémon,2.00,6.90,Intimidate,Shed Skin,Unnerve,35,60,44,40,54,55,288,255
24,Arbok,1,Poison,,Cobra Pokémon,3.50,65.00,Intimidate,Shed Skin,Unnerve,60,95,69,65,79,80,448,90
25,Pikachu,1,Electric,,Mouse Pokémon,0.40,6.00,Static,Lightning Rod,,35,55,40,50,50,90,320,190
26,Raichu,1,Electric,,Mouse Pokémon,0.80,30.00,Static,Lightning Rod,,60,90,55,90,80,110,485,75
27,Sandshrew,1,Ground,,Mouse Pokémon,0.60,12.00,Sand Veil,Sand Rush,,50,75,85,20,30,40,300,255
28,Sandslash,1,Ground,,Mouse Pokémon,1.00,29.50,Sand Veil,Sand Rush,,75,100,110,45,55,65,450,90
29,Nidoran♀ (female),1,Poison,,Poison Pin Pokémon,0.40,7.00,Poison Point,Rivalry,Hustle,55,47,52,40,40,41,275,235
30,Nidorina,1,Poison,,Poison Pin Pokémon,0.80,20.00,Poison Point,Rivalry,Hustle,70,62,67,55,55,56,365,120
31,Nidoqueen,1,Poison,Ground,Drill Pokémon,1.30,60.00,Poison Point,Rivalry,Sheer Force,90,92,87,75,85,76,505,45
32,Nidoran♂ (male),1,Poison,,Poison Pin Pokémon,0.50,9.00,Poison Point,Rivalry,Hustle,46,57,40,40,40,50,273,235
33,Nidorino,1,Poison,,Poison Pin Pokémon,0.90,19.50,Poison Point,Rivalry,Hustle,61,72,57,55,55,65,365,120
34,Nidoking,1,Poison,Ground,Drill Pokémon,1.40,62.00,Poison Point,Rivalry,Sheer Force,81,102,77,85,75,85,505,45
35,Clefairy,1,Fairy,,Fairy Pokémon,0.60,7.50,Cute Charm,Magic Guard,Friend Guard,70,45,48,60,65,35,323,150
36,Clefable,1,Fairy,,Fairy Pokémon,1.30,40.00,Cute Charm,Magic Guard,Unaware,95,70,73,95,90,60,483,25
37,Vulpix,1,Fire,,Fox Pokémon,0.60,9.90,Flash Fire,Drought,,38,41,40,50,65,65,299,190
38,Ninetales,1,Fire,,Fox Pokémon,1.10,19.90,Flash Fire,Drought,,73,76,75,81,100,100,505,75
39,Jigglypuff,1,Normal,Fairy,Balloon Pokémon,0.50,5.50,Cute Charm,Competitive,Friend Guard,115,45,20,45,25,20,270,170
40,Wigglytuff,1,Normal,Fairy,Balloon Pokémon,1.00,12.00,Cute Charm,Competitive,Frisk,140,70,45,85,50,45,435,50
41,Zubat,1,Poison,Flying,Bat Pokémon,0.80,7.50,Inner Focus,Infiltrator,,40,45,35,30,40,55,245,255
42,Golbat,1,Poison,Flying,Bat Pokémon,1.60,55.00,Inner Focus,Infiltrator,,75,80,70,65,75,90,455,90
43,Oddish,1,Grass,Poison,Weed Pokémon,0.50,5.40,Chlorophyll,Run Away,,45,50,55,75,65,30,320,255
44,Gloom,1,Grass,Poison,Weed Pokémon,0.80,8.60,Chlorophyll,Stench,,60,65,70,85,75,40,395,120
45,Vileplume,1,Grass,Poison,Flower Pokémon,1.20,18.60,Chlorophyll,Effect Spore,,75,80,85,110,90,50,490,45
46,Paras,1,Bug,Grass,Mushroom Pokémon,0.30,5.40,Effect Spore,Dry Skin,Damp,35,70,55,45,55,25,285,190
47,Parasect,1,Bug,Grass,Mushroom Pokémon,1.00,29.50,Effect Spore,Dry Skin,Damp,60,95,80,60,80,30,405,75
48,Venonat,1,Bug,Poison,Insect Pokémon,1.00,30.00,Compound Eyes,Tinted Lens,Run Away,60,55,50,40,55,45,305,190
49,Venomoth,1,Bug,Poison,Poison Moth Pokémon,1.50,12.50,Shield Dust,Tinted Lens,Wonder Skin,70,65,60,90,75,90,450,75
50,Diglett,1,Ground,,Mole Pokémon,0.20,0.80,Sand Veil,Arena Trap,Sand Force,10,55,25,35,45,95,265,255
51,Dugtrio,1,Ground,,Mole Pokémon,0.70,33.30,Sand Veil,Arena Trap,Sand Force,35,100,50,50,70,120,425,50
52,Meowth,1,Normal,,Scratch Cat Pokémon,0.40,4.20,Pickup,Technician,Unnerve,40,45,35,40,40,90,290,255
53,Persian,1,Normal,,Classy Cat Pokémon,1.00,32.00,Limber,Technician,Unnerve,65,70,60,65,65,115,440,90
54,Psyduck,1,Water,,Duck Pokémon,0.80,19.60,Damp,Cloud Nine,Swift Swim,50,52,48,65,50,55,320,190
55,Golduck,1,Water,,Duck Pokémon,1.70,76.60,Damp,Cloud Nine,Swift Swim,80,82,78,95,80,85,500,75
56,Mankey,1,Fighting,,Pig Monkey Pokémon,0.50,28.00,Vital Spirit,Anger Point,Defiant,40,80,35,35,45,70,305,190
57,Primeape,1,Fighting,,Pig Monkey Pokémon,1.00,32.00,Vital Spirit,Anger Point,Defiant,65,105,60,60,70,95,455,75
58,Growlithe,1,Fire,,Puppy Pokémon,0.70,19.00,Intimidate,Flash Fire,Justified,55,70,45,70,50,60,350,190
59,Arcanine,1,Fire,,Legendary Pokémon,1.90,155.00,Intimidate,Flash Fire,Justified,90,110,80,100,80,95,555,75
60,Poliwag,1,Water,,Tadpole Pokémon,0.60,12.40,Water Absorb,Damp,Swift Swim,40,50,40,40,40,90,300,255
61,Poliwhirl,1,Water,,Tadpole Pokémon,1.00,20.00,Water Absorb,Damp,Swift Swim,65,65,65,50,50,90,385,120
62,Poliwrath,1,Water,Fighting,Tadpole Pokémon,1.30,54.00,Water Absorb,Damp,Swift Swim,90,95,95,70,90,70,510,45
63,Abra,1,Psychic,,Psi Pokémon,0.90,19.50,Synchronize,Inner Focus,Magic Guard,25,20,15,105,55,90,310,200
64,Kadabra,1,Psychic,,Psi Pokémon,1.30,56.50,Synchronize,Inner Focus,Magic Guard,40,35,30,120,70,105,400,100
65,Alakazam,1,Psychic,,Psi Pokémon,1.50,48.00,Synchronize,Inner Focus,Magic Guard,55,50,45,135,95,120,500,50
66,Machop,1,Fighting,,Superpower Pokémon,0.80,19.50,Guts,No Guard,Steadfast,70,80,50,35,35,35,305,180
67,Machoke,1,Fighting,,Superpower Pokémon,1.50,70.50,Guts,No Guard,Steadfast,80,100,70,50,60,45,405,90
68,Machamp,1,Fighting,,Superpower Pokémon,1.60,130.00,Guts,No Guard,Steadfast,90,130,80,65,85,55,505,45
69,Bellsprout,1,Grass,Poison,Flower Pokémon,0.70,4.00,Chlorophyll,Gluttony,,50,75,35,70,30,40,300,255
70,Weepinbell,1,Grass,Poison,Flycatcher Pokémon,1.00,6.40,Chlorophyll,Gluttony,,65,90,50,85,45,55,390,120
71,Victreebel,1,Grass,Poison,Flycatcher Pokémon,1.70,15.50,Chlorophyll,Gluttony,,80,105,65,100,70,70,490,45
72,Tentacool,1,Water,Poison,Jellyfish Pokémon,0.90,45.50,Clear Body,Liquid Ooze,Rain Dish,40,40,35,50,100,70,335,190
73,Tentacruel,1,Water,Poison,Jellyfish Pokémon,1.60,55.00,Clear Body,Liquid Ooze,Rain Dish,80,70,65,80,120,100,515,60
74,Geodude,1,Rock,Ground,Rock Pokémon,0.40,20.00,Rock Head,Sturdy,Sand Veil,40,80,100,30,30,20,300,255
75,Graveler,1,Rock,Ground,Rock Pokémon,1.00,105.00,Rock Head,Sturdy,Sand Veil,55,95,115,45,45,35,390,120
76,Golem,1,Rock,Ground,Megaton Pokémon,1.40,300.00,Rock Head,Sturdy,Sand Veil,80,120,130,55,65,45,495,45
77,Ponyta,1,Fire,,Fire Horse Pokémon,1.00,30.00,Run Away,Flash Fire,Flame Body,50,85,55,65,65,90,410,190
78,Rapidash,1,Fire,,Fire Horse Pokémon,1.70,95.00,Run Away,Flash Fire,Flame Body,65,100,70,80,80,105,500,60
79,Slowpoke,1,Water,Psychic,Dopey Pokémon,1.20,36.00,Oblivious,Own Tempo,Regenerator,90,65,65,40,40,15,315,190
80,Slowbro,1,Water,Psychic,Hermit Crab Pokémon,1.60,78.50,Oblivious,Own Tempo,Regenerator,95,75,110,100,80,30,490,75
